OBS_TIME_LOC,PRCP,VOID_FLAG
2019-07-31 16:04:00,180.0,N
2019-07-31 19:04:00,180.0,N
2019-07-31 22:04:00,180.0,N
2019-08-01 01:04:01,180.0,N
2019-08-01 04:04:01,180.0,N
2019-08-01 07:04:01,180.0,N
2019-08-01 07:57:41,181.0,N
2019-08-01 10:04:01,181.0,N
2019-08-01 13:04:01,181.0,N
2019-08-01 16:04:01,181.0,N
2019-08-01 19:04:01,181.0,N
2019-08-01 22:04:01,181.0,N
2019-08-02 01:04:01,181.0,N
2019-08-02 04:04:01,181.0,N
2019-08-02 07:04:01,181.0,N
2019-08-02 10:04:01,181.0,N
2019-08-02 13:04:01,181.0,N
2019-08-02 13:31:56,182.0,N
2019-08-02 13:32:50,183.0,N
2019-08-02 13:35:04,184.0,N
2019-08-02 13:46:52,185.0,N
2019-08-02 13:50:40,186.0,N
2019-08-02 14:13:39,187.0,N
2019-08-02 16:04:01,187.0,N
2019-08-02 19:04:01,187.0,N
2019-08-02 22:04:01,187.0,N
2019-08-03 01:04:01,187.0,N
2019-08-03 04:04:01,187.0,N
2019-08-03 07:04:02,187.0,N
2019-08-03 10:04:02,187.0,N
2019-08-03 13:04:01,187.0,N
2019-08-03 16:04:01,187.0,N
2019-08-03 19:04:02,187.0,N
2019-08-03 22:04:01,187.0,N
2019-08-04 01:04:02,187.0,N
2019-08-04 04:04:01,187.0,N
2019-08-04 07:04:01,187.0,N
2019-08-04 10:04:01,187.0,N
2019-08-04 13:04:02,187.0,N
2019-08-04 16:04:02,187.0,N
2019-08-04 19:04:01,187.0,N
2019-08-04 22:04:02,187.0,N
2019-08-05 01:04:01,187.0,N
2019-08-05 04:04:01,187.0,N
2019-08-05 07:04:01,187.0,N
2019-08-05 10:04:01,187.0,N
2019-08-05 13:04:02,187.0,N
2019-08-05 16:04:02,187.0,N
2019-08-05 19:04:02,187.0,N
2019-08-05 22:04:02,187.0,N
2019-08-06 01:04:01,187.0,N
2019-08-06 04:04:02,187.0,N
2019-08-06 07:04:02,187.0,N
2019-08-06 10:04:02,187.0,N
2019-08-06 13:04:02,187.0,N
2019-08-06 16:04:02,187.0,N
2019-08-06 19:04:02,187.0,N
2019-08-06 22:04:02,187.0,N
2019-08-07 01:04:02,187.0,N
2019-08-07 04:04:02,187.0,N
2019-08-07 07:04:02,187.0,N
2019-08-07 10:04:02,187.0,N
2019-08-07 13:04:02,187.0,N
2019-08-07 16:04:02,187.0,N
2019-08-07 16:38:30,188.0,N
2019-08-07 16:50:41,189.0,N
2019-08-07 16:52:16,190.0,N
2019-08-07 16:53:28,191.0,N
2019-08-07 16:54:47,192.0,N
2019-08-07 16:56:38,193.0,N
2019-08-07 16:57:51,194.0,N
2019-08-07 17:04:32,195.0,N
2019-08-07 17:11:51,196.0,N
2019-08-07 17:23:06,197.0,N
2019-08-07 17:46:51,198.0,N
2019-08-07 18:15:24,199.0,N
2019-08-07 19:04:02,199.0,N
2019-08-07 22:04:02,199.0,N
2019-08-08 01:04:02,199.0,N
2019-08-08 04:04:02,199.0,N
2019-08-08 07:04:02,199.0,N
2019-08-08 10:04:02,199.0,N
2019-08-08 13:04:02,199.0,N
2019-08-08 14:58:27,200.0,N
2019-08-08 15:05:35,201.0,N
2019-08-08 15:06:05,202.0,N
2019-08-08 15:06:37,203.0,N
2019-08-08 15:07:08,204.0,N
2019-08-08 15:07:41,205.0,N
2019-08-08 15:08:10,206.0,N
2019-08-08 15:08:42,207.0,N
2019-08-08 15:09:12,208.0,N
2019-08-08 15:09:43,209.0,N
2019-08-08 16:04:02,209.0,N
2019-08-08 19:04:03,209.0,N
2019-08-08 22:04:02,209.0,N
2019-08-09 01:04:03,209.0,N
2019-08-09 04:04:03,209.0,N
2019-08-09 07:04:03,209.0,N
2019-08-09 10:04:03,209.0,N
2019-08-09 13:04:03,209.0,N
2019-08-09 16:04:03,209.0,N
2019-08-09 19:04:03,209.0,N
2019-08-09 22:04:05,209.0,N
2019-08-10 01:04:02,209.0,N
2019-08-10 04:04:02,209.0,N
2019-08-10 07:04:03,209.0,N
2019-08-10 10:04:02,209.0,N
2019-08-10 13:04:02,209.0,N
2019-08-10 16:04:02,209.0,N
2019-08-10 19:04:02,209.0,N
2019-08-10 22:04:02,209.0,N
2019-08-11 04:04:03,209.0,N
2019-08-11 07:04:02,209.0,N
2019-08-11 10:04:03,209.0,N
2019-08-11 13:04:03,209.0,N
2019-08-11 16:04:02,209.0,N
2019-08-11 19:04:02,209.0,N
2019-08-11 22:04:03,209.0,N
2019-08-12 01:04:03,209.0,N
2019-08-12 04:04:03,209.0,N
2019-08-12 07:04:03,209.0,N
2019-08-12 10:04:03,209.0,N
2019-08-12 13:04:03,209.0,N
2019-08-12 16:04:03,209.0,N
2019-08-12 19:04:03,209.0,N
2019-08-12 22:04:03,209.0,N
2019-08-13 01:04:03,209.0,N
2019-08-13 04:04:03,209.0,N
2019-08-13 07:04:03,209.0,N
2019-08-13 10:04:03,209.0,N
2019-08-13 13:04:03,209.0,N
2019-08-13 16:04:03,209.0,N
2019-08-13 19:04:04,209.0,N
2019-08-13 19:06:00,209.0,N
2019-08-13 22:04:03,209.0,N
2019-08-14 01:04:03,209.0,N
2019-08-14 04:04:03,209.0,N
2019-08-14 07:04:04,209.0,N
2019-08-14 10:04:04,209.0,N
2019-08-14 13:04:04,209.0,N
2019-08-14 16:04:04,209.0,N
2019-08-14 19:04:03,209.0,N
2019-08-14 19:05:12,209.0,N
2019-08-14 22:04:03,209.0,N
2019-08-15 01:04:03,209.0,N
2019-08-15 04:04:03,209.0,N
2019-08-15 07:04:03,209.0,N
2019-08-15 10:04:03,209.0,N
2019-08-15 13:04:03,209.0,N
2019-08-15 16:04:04,209.0,N
2019-08-15 19:04:03,209.0,N
2019-08-15 22:04:03,209.0,N
2019-08-16 01:04:04,209.0,N
2019-08-16 04:04:04,209.0,N
2019-08-16 07:04:04,209.0,N
2019-08-16 10:04:04,209.0,N
2019-08-16 13:04:04,209.0,N
2019-08-16 16:04:04,209.0,N
2019-08-16 19:04:04,209.0,N
2019-08-16 22:04:04,209.0,N
2019-08-17 01:04:04,209.0,N
2019-08-17 04:04:04,209.0,N
2019-08-17 07:04:04,209.0,N
2019-08-17 10:04:04,209.0,N
2019-08-17 13:04:04,209.0,N
2019-08-17 16:04:04,209.0,N
2019-08-17 19:04:04,209.0,N
2019-08-17 22:04:04,209.0,N
2019-08-18 01:04:04,209.0,N
2019-08-18 04:04:04,209.0,N
2019-08-18 07:04:04,209.0,N
2019-08-18 10:04:04,209.0,N
2019-08-18 13:04:05,209.0,N
2019-08-18 16:04:04,209.0,N
2019-08-18 19:04:04,209.0,N
2019-08-18 22:04:04,209.0,N
2019-08-19 01:04:04,209.0,N
2019-08-19 04:04:04,209.0,N
2019-08-19 07:04:04,209.0,N
2019-08-19 10:04:04,209.0,N
2019-08-19 13:04:04,209.0,N
2019-08-19 16:04:05,209.0,N
2019-08-19 19:04:05,209.0,N
2019-08-19 22:04:04,209.0,N
2019-08-20 01:04:04,209.0,N
2019-08-20 04:04:04,209.0,N
2019-08-20 07:04:05,209.0,N
2019-08-20 10:04:04,209.0,N
2019-08-20 13:04:05,209.0,N
2019-08-20 16:04:06,209.0,N
2019-08-20 19:04:04,209.0,N
2019-08-20 22:04:04,209.0,N
2019-08-21 01:04:04,209.0,N
2019-08-21 04:04:05,209.0,N
2019-08-21 07:04:07,209.0,N
2019-08-21 10:04:05,209.0,N
2019-08-21 13:04:05,209.0,N
2019-08-21 16:04:05,209.0,N
2019-08-21 19:04:05,209.0,N
2019-08-21 22:04:05,209.0,N
2019-08-22 01:04:05,209.0,N
2019-08-22 04:04:07,209.0,N
2019-08-22 07:04:05,209.0,N
2019-08-22 10:04:05,209.0,N
2019-08-22 13:04:05,209.0,N
2019-08-22 16:04:05,209.0,N
2019-08-22 19:04:05,209.0,N
2019-08-22 21:13:26,210.0,N
2019-08-22 22:04:05,210.0,N
2019-08-22 23:40:05,211.0,N
2019-08-23 01:04:05,211.0,N
2019-08-23 04:04:05,211.0,N
2019-08-23 07:04:05,211.0,N
2019-08-23 10:04:05,211.0,N
2019-08-23 13:04:05,211.0,N
2019-08-23 16:04:05,211.0,N
2019-08-23 19:04:05,211.0,N
2019-08-23 22:04:05,211.0,N
2019-08-24 01:04:05,211.0,N
2019-08-24 04:04:05,211.0,N
2019-08-24 07:04:05,211.0,N
2019-08-24 10:04:05,211.0,N
2019-08-24 13:04:05,211.0,N
2019-08-24 16:04:05,211.0,N
2019-08-24 19:04:05,211.0,N
2019-08-24 22:04:05,211.0,N
2019-08-25 01:04:05,211.0,N
2019-08-25 04:04:05,211.0,N
2019-08-25 07:04:05,211.0,N
2019-08-25 10:04:05,211.0,N
2019-08-25 13:04:05,211.0,N
2019-08-25 16:04:05,211.0,N
2019-08-25 19:04:05,211.0,N
2019-08-25 22:04:05,211.0,N
2019-08-26 01:04:05,211.0,N
2019-08-26 04:04:05,211.0,N
2019-08-26 07:04:05,211.0,N
2019-08-26 10:04:05,211.0,N
2019-08-26 13:04:05,211.0,N
2019-08-26 16:04:06,211.0,N
2019-08-26 19:04:05,211.0,N
2019-08-26 22:04:05,211.0,N
2019-08-27 01:04:05,211.0,N
2019-08-27 04:04:05,211.0,N
2019-08-27 07:04:06,211.0,N
2019-08-27 10:04:05,211.0,N
2019-08-27 13:04:05,211.0,N
2019-08-27 16:04:05,211.0,N
2019-08-27 19:04:05,211.0,N
2019-08-27 22:04:06,211.0,N
2019-08-28 01:04:05,211.0,N
2019-08-28 04:04:06,211.0,N
2019-08-28 04:05:39,211.0,N
2019-08-28 04:26:10,212.0,N
2019-08-28 07:04:05,212.0,N
