OBS_TIME_LOC,PRCP,VOID_FLAG
2019-07-26 13:04:00,179.0,N
2019-07-26 16:03:59,179.0,N
2019-07-26 19:03:59,179.0,N
2019-07-26 22:03:59,179.0,N
2019-07-27 01:03:59,179.0,N
2019-07-27 04:04:00,179.0,N
2019-07-27 07:04:00,179.0,N
2019-07-27 10:04:00,179.0,N
2019-07-27 13:04:00,179.0,N
2019-07-27 16:04:00,179.0,N
2019-07-27 19:04:00,179.0,N
2019-07-27 22:04:00,179.0,N
2019-07-28 01:04:00,179.0,N
2019-07-28 04:04:00,179.0,N
2019-07-28 07:04:00,179.0,N
2019-07-28 10:04:00,179.0,N
2019-07-28 13:04:00,179.0,N
2019-07-28 16:04:00,179.0,N
2019-07-28 19:04:00,179.0,N
2019-07-28 22:04:00,179.0,N
2019-07-29 01:04:00,179.0,N
2019-07-29 04:04:00,179.0,N
2019-07-29 07:04:00,179.0,N
2019-07-29 10:04:00,179.0,N
2019-07-29 13:04:01,179.0,N
2019-07-29 16:04:01,179.0,N
2019-07-29 19:04:01,179.0,N
2019-07-29 22:04:01,179.0,N
2019-07-30 04:04:00,179.0,N
2019-07-30 10:04:00,179.0,N
2019-07-30 13:04:00,179.0,N
2019-07-30 16:04:01,179.0,N
2019-07-30 19:04:00,179.0,N
2019-07-30 22:04:00,179.0,N
2019-07-31 01:04:00,179.0,N
2019-07-31 04:04:01,179.0,N
2019-07-31 07:04:00,179.0,N
2019-07-31 10:04:01,179.0,N
2019-07-31 13:04:00,179.0,N
2019-07-31 14:37:20,180.0,N
