OBS_TIME_LOC,PRCP,VOID_FLAG
2019-08-16 15:29:45,2.0,N
2019-08-16 18:29:42,2.0,N
2019-08-16 21:29:42,2.0,N
2019-08-17 00:29:43,2.0,N
2019-08-17 00:29:45,514.0,Y
2019-08-17 03:29:42,2.0,N
2019-08-17 06:29:41,2.0,N
2019-08-17 09:29:41,2.0,N
2019-08-17 12:29:42,2.0,N
2019-08-17 15:29:43,2.0,N
2019-08-17 15:29:44,1026.0,Y
2019-08-17 18:29:43,2.0,N
2019-08-17 21:29:42,2.0,N
2019-08-18 00:29:43,2.0,N
2019-08-18 03:29:41,2.0,N
2019-08-18 06:29:42,2.0,N
2019-08-18 09:29:42,2.0,N
2019-08-18 12:29:42,2.0,N
2019-08-18 15:29:43,2.0,N
2019-08-18 18:29:41,2.0,N
2019-08-18 21:29:44,2.0,N
2019-08-19 00:29:45,2.0,N
2019-08-19 03:29:43,2.0,N
2019-08-19 06:29:41,2.0,N
2019-08-29 09:29:39,5.0,N
2019-08-29 12:29:39,5.0,N
2019-08-29 15:29:39,5.0,N
2019-08-29 18:29:39,5.0,N
2019-08-30 00:29:39,5.0,N
2019-08-30 03:29:38,5.0,N
2019-08-30 06:29:38,5.0,N
2019-08-30 09:29:38,5.0,N
2019-08-30 12:29:38,5.0,N
2019-08-30 12:46:39,6.0,N
2019-08-30 15:29:38,6.0,N
2019-08-30 18:29:39,6.0,N
2019-08-30 21:29:38,6.0,N
2019-08-31 00:29:38,6.0,N
2019-08-31 03:29:38,6.0,N
2019-08-31 06:29:38,6.0,N
2019-08-31 09:29:38,6.0,N
2019-08-31 12:29:38,6.0,N
2019-08-31 15:29:38,6.0,N
2019-08-31 18:29:39,6.0,N
2019-08-31 21:29:38,6.0,N
2019-09-01 00:29:38,6.0,N
2019-09-01 03:29:38,6.0,N
2019-09-01 06:29:38,6.0,N
2019-09-01 09:29:38,6.0,N
2019-09-01 12:29:40,6.0,N
2019-09-01 15:29:38,6.0,N
2019-09-01 18:29:38,6.0,N
2019-09-01 21:29:38,6.0,N
2019-09-02 00:29:38,6.0,N
2019-09-02 00:29:40,1030.0,Y
2019-09-02 03:29:38,6.0,N
2019-09-02 06:29:38,6.0,N
2019-09-02 09:29:38,6.0,N
2019-09-02 12:29:38,6.0,N
2019-09-02 15:29:37,6.0,N
2019-09-02 18:29:37,6.0,N
2019-09-02 21:29:37,6.0,N
2019-09-03 00:29:37,6.0,N
2019-09-03 03:29:37,6.0,N
2019-09-03 06:29:37,6.0,N
2019-09-03 09:29:37,6.0,N
2019-09-03 12:29:38,6.0,N
2019-09-03 15:29:38,6.0,N
2019-09-03 18:29:37,6.0,N
2019-09-03 21:29:39,6.0,N
2019-09-04 00:29:36,6.0,N
2019-09-04 03:29:37,6.0,N
2019-09-04 03:29:40,134.0,Y
2019-09-04 06:29:36,6.0,N
2019-09-04 09:29:37,6.0,N
2019-09-04 12:29:38,6.0,N
2019-09-04 15:29:38,6.0,N
2019-09-04 18:29:37,6.0,N
