OBS_TIME_LOC,PRCP,VOID_FLAG
2021-02-15 18:57:15,670.5,N
2021-02-15 21:57:15,670.5,N
2021-02-16 00:57:15,670.5,N
2021-02-16 01:29:35,671.0,N
2021-02-16 01:32:47,671.5,N
2021-02-16 01:35:28,672.0,N
2021-02-16 03:57:16,672.0,N
2021-02-16 05:03:03,672.5,N
2021-02-16 05:09:14,673.0,N
2021-02-16 05:09:51,673.5,N
2021-02-16 05:10:32,674.0,N
2021-02-16 05:12:56,674.5,N
2021-02-16 06:57:16,674.5,N
2021-02-16 07:14:24,675.0,N
2021-02-16 08:36:07,675.5,N
2021-02-16 08:36:53,676.0,N
2021-02-16 08:38:41,676.5,N
2021-02-16 08:40:17,677.0,N
2021-02-16 09:25:09,677.5,N
2021-02-16 09:33:04,678.0,N
2021-02-16 09:57:16,678.0,N
2021-02-16 11:00:16,678.5,N
2021-02-16 11:03:06,679.0,N
2021-02-16 11:43:46,679.5,N
2021-02-16 12:57:16,679.5,N
2021-02-16 13:22:13,680.0,N
2021-02-16 13:47:45,680.5,N
2021-02-16 14:07:56,681.0,N
2021-02-16 16:07:48,683.0,N
2021-02-16 17:19:09,683.5,N
2021-02-16 18:57:16,683.5,N
2021-02-16 19:16:40,684.0,N
2021-02-16 19:17:37,684.5,N
2021-02-16 19:18:33,685.0,N
2021-02-16 19:20:09,685.5,N
2021-02-16 19:24:37,687.0,N
2021-02-16 19:26:05,687.5,N
2021-02-16 19:26:48,688.0,N
2021-02-16 19:27:24,688.5,N
2021-02-16 19:27:57,689.0,N
2021-02-16 21:29:36,689.5,N
2021-02-16 21:57:18,689.5,N
2021-02-17 00:57:16,689.5,N
2021-02-17 01:38:45,690.0,N
2021-02-17 01:41:39,690.5,N
2021-02-17 02:20:46,691.0,N
2021-02-17 02:24:03,691.5,N
2021-02-17 02:53:36,692.0,N
2021-02-17 02:54:22,692.5,N
2021-02-17 02:55:45,693.0,N
2021-02-17 02:58:31,693.5,N
2021-02-17 03:37:10,695.0,N
2021-02-17 03:37:50,696.0,N
2021-02-17 03:38:09,696.5,N
2021-02-17 03:38:35,697.0,N
2021-02-17 03:39:04,697.5,N
2021-02-17 03:39:43,698.0,N
2021-02-17 03:40:24,698.5,N
2021-02-17 03:41:07,699.0,N
2021-02-17 03:42:02,699.5,N
2021-02-17 03:42:37,700.0,N
2021-02-17 03:43:17,700.5,N
2021-02-17 03:43:50,701.0,N
2021-02-17 03:44:55,701.5,N
2021-02-17 03:46:06,702.0,N
2021-02-17 03:47:00,702.5,N
2021-02-17 03:47:34,703.0,N
2021-02-17 03:49:18,703.5,N
2021-02-17 03:50:08,704.0,N
2021-02-17 03:50:28,704.5,N
2021-02-17 03:50:54,705.5,N
2021-02-17 03:51:39,706.0,N
2021-02-17 03:54:02,706.5,N
2021-02-17 03:57:16,706.5,N
2021-02-17 03:57:22,707.0,N
2021-02-17 03:57:40,707.5,N
2021-02-17 03:58:07,708.0,N
2021-02-17 03:58:33,708.5,N
2021-02-17 03:58:59,709.0,N
2021-02-17 03:59:29,709.5,N
2021-02-17 04:00:14,710.0,N
2021-02-17 04:48:54,711.0,N
2021-02-17 05:04:17,711.5,N
2021-02-17 05:06:11,712.0,N
2021-02-17 05:07:15,712.5,N
2021-02-17 05:07:53,713.0,N
2021-02-17 06:53:54,714.0,N
2021-02-17 06:57:08,715.0,N
2021-02-17 07:01:38,716.0,N
2021-02-17 07:05:36,716.5,N
2021-02-17 07:06:43,717.0,N
2021-02-17 07:09:46,717.5,N
2021-02-17 07:10:30,718.0,N
2021-02-17 07:11:30,718.5,N
2021-02-17 07:12:44,719.0,N
2021-02-17 07:14:44,719.5,N
2021-02-17 07:16:29,720.0,N
2021-02-17 07:20:38,720.5,N
2021-02-17 07:23:14,721.0,N
2021-02-17 07:24:44,721.5,N
2021-02-17 07:25:16,722.0,N
2021-02-17 07:25:51,722.5,N
2021-02-17 07:26:31,723.0,N
2021-02-17 07:27:19,723.5,N
2021-02-17 07:28:44,724.0,N
2021-02-17 07:29:54,724.5,N
2021-02-17 08:35:08,725.0,N
2021-02-17 08:36:29,725.5,N
2021-02-17 08:38:24,726.0,N
2021-02-17 08:44:58,727.0,N
2021-02-17 09:07:42,727.5,N
2021-02-17 09:15:37,728.0,N
2021-02-17 09:18:33,728.5,N
2021-02-17 09:19:36,729.0,N
2021-02-17 09:20:34,730.0,N
2021-02-17 09:21:21,730.5,N
2021-02-17 09:22:37,731.0,N
2021-02-17 09:25:30,731.5,N
2021-02-17 09:48:21,732.0,N
2021-02-17 09:51:02,732.5,N
2021-02-17 09:52:44,733.0,N
2021-02-17 09:57:16,733.0,N
2021-02-17 10:05:18,733.5,N
2021-02-17 12:57:16,733.5,N
2021-02-17 13:09:25,734.0,N
2021-02-17 13:09:52,734.5,N
2021-02-17 13:11:32,735.5,N
2021-02-17 13:13:02,736.5,N
2021-02-17 13:14:45,737.0,N
2021-02-17 13:15:39,737.5,N
2021-02-17 14:11:29,738.5,N
2021-02-17 14:21:27,739.0,N
2021-02-17 14:22:55,739.5,N
2021-02-17 14:28:17,740.0,N
2021-02-17 15:26:02,740.5,N
2021-02-17 15:57:16,740.5,N
2021-02-17 18:57:17,740.5,N
2021-02-17 21:01:46,741.0,N
2021-02-17 21:41:19,741.5,N
2021-02-17 21:57:17,741.5,N
2021-02-17 22:31:31,742.0,N
2021-02-17 22:33:00,742.5,N
2021-02-17 23:40:13,743.5,N
2021-02-17 23:44:28,744.0,N
2021-02-17 23:45:30,744.5,N
2021-02-17 23:46:19,745.0,N
2021-02-18 00:18:48,745.5,N
