OBS_TIME_LOC,PRCP,VOID_FLAG
2019-07-26 13:44:07,3.0,N
2019-07-26 16:44:07,3.0,N
2019-07-26 19:44:07,3.0,N
2019-07-26 22:44:07,3.0,N
2019-07-27 01:44:07,3.0,N
2019-07-27 04:44:07,3.0,N
2019-07-27 07:44:07,3.0,N
2019-07-27 10:44:07,3.0,N
2019-07-27 13:44:07,3.0,N
2019-07-27 16:44:07,3.0,N
2019-07-27 19:44:07,3.0,N
2019-07-27 22:44:07,3.0,N
2019-07-28 01:44:07,3.0,N
2019-07-28 04:44:07,3.0,N
2019-07-28 07:44:07,3.0,N
2019-07-28 10:44:06,3.0,N
2019-07-28 13:44:06,3.0,N
2019-07-28 16:44:07,3.0,N
2019-07-28 19:44:06,3.0,N
2019-07-28 22:44:07,3.0,N
2019-07-29 01:44:06,3.0,N
2019-07-29 04:44:06,3.0,N
2019-07-29 07:44:06,3.0,N
2019-07-29 10:44:06,3.0,N
2019-07-29 13:44:06,3.0,N
2019-07-29 16:44:06,3.0,N
2019-07-29 19:44:06,3.0,N
2019-07-29 22:44:06,3.0,N
2019-07-30 01:44:06,3.0,N
2019-07-30 04:44:05,3.0,N
2019-07-30 07:44:05,3.0,N
2019-07-30 10:44:05,3.0,N
2019-07-30 13:44:05,3.0,N
2019-07-30 16:44:05,3.0,N
2019-07-30 19:44:05,3.0,N
2019-07-30 22:44:05,3.0,N
2019-07-31 01:44:05,3.0,N
2019-07-31 04:44:05,3.0,N
2019-07-31 07:44:05,3.0,N
2019-07-31 10:44:05,3.0,N
2019-07-31 13:44:05,3.0,N
